Age,Employ_type,Education,Education_years,Marriage,Occupation,Relationship,Race,Gender,Capital-gain,Captial-loss,hours-per-week,Income
65, ?, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40,0
41, Private, Bachelors,13, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40,0
28, Private, 10th,6, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,45,0
46, Private, Masters,14, Divorced, Exec-managerial, Not-in-family, White, Female,27828,0,50,1
49, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,99999,0,20,1
24, Private, HS-grad,9, Never-married, Handlers-cleaners, Other-relative, Black, Male,0,0,40,0
32, Private, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40,0
71, Private, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,6767,0,20,0
26, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,3103,0,40,1
29, Private, HS-grad,9, Married-spouse-absent, Protective-serv, Not-in-family, White, Male,0,0,40,0
50, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,50,1
51, Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,3103,0,50,1
17, ?, 10th,6, Never-married, ?, Own-child, White, Female,0,0,20,0
49, Private, HS-grad,9, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,40,1
31, Private, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40,0
23, Private, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40,0
59, Local-gov, HS-grad,9, Widowed, Farming-fishing, Unmarried, White, Male,0,2339,40,0
17, ?, 10th,6, Never-married, ?, Own-child, White, Male,0,0,30,0
43, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,7688,0,40,1
38, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,7298,0,40,1
37, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40,0
29, Private, 10th,6, Never-married, Other-service, Own-child, White, Male,0,0,40,0
39, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50,1
31, Private, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, White, Male,2202,0,38,0
42, Local-gov, Bachelors,13, Married-spouse-absent, Prof-specialty, Not-in-family, White, Female,8614,0,45,1
35, Local-gov, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,35,1
39, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,40,1
40, Private, Assoc-acdm,12, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40,0
66, Private, 5th-6th,3, Married-spouse-absent, Handlers-cleaners, Unmarried, White, Female,0,0,40,0
30, Federal-gov, 9th,5, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40,0
43, Private, Assoc-acdm,12, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40,0
47, Private, 9th,5, Never-married, Other-service, Unmarried, White, Female,0,0,50,0
45, Private, Masters,14, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40,0
31, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40,0
33, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,3103,0,40,1
32, Private, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40,0
28, Private, Assoc-acdm,12, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40,0
50, Federal-gov, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40,1
63, Private, 7th-8th,4, Divorced, Sales, Not-in-family, White, Female,0,0,40,0
28, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40,0
38, Private, Some-college,10, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,40,0
52, Private, HS-grad,9, Divorced, Other-service, Not-in-family, White, Female,0,0,38,0
38, Self-emp-inc, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40,1
41, Private, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Male,2174,0,40,0
50, State-gov, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,38,0
59, Private, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40,0
32, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,49,0
73, Local-gov, 7th-8th,4, Married-civ-spouse, Protective-serv, Husband, White, Male,2228,0,10,0
52, Self-emp-inc, HS-grad,9, Divorced, Exec-managerial, Unmarried, White, Male,0,0,38,0
57, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60,0
35, Private, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,50,1
51, Private, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,56,1
22, Private, 11th,7, Widowed, Sales, Own-child, Black, Female,0,0,35,0
49, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40,1
22, Private, HS-grad,9, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,40,0
46, Local-gov, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,40,0
48, Private, HS-grad,9, Divorced, Craft-repair, Unmarried, White, Female,0,0,40,0
52, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40,0
43, State-gov, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,50,1
25, Private, 7th-8th,4, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40,0
31, Private, 7th-8th,4, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40,0
19, Private, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,36,0
19, ?, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,45,0
51, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,84,1
51, Private, Bachelors,13, Divorced, Exec-managerial, Unmarried, White, Male,0,0,40,1
22, Self-emp-not-inc, HS-grad,9, Never-married, Prof-specialty, Unmarried, White, Female,99999,0,40,1
37, Local-gov, HS-grad,9, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,35,0
19, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,30,0
45, Private, HS-grad,9, Divorced, Transport-moving, Unmarried, White, Female,0,0,55,0
21, State-gov, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,10,0
52, Private, HS-grad,9, Widowed, Sales, Not-in-family, White, Female,0,0,40,0
46, Local-gov, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,24,0
42, State-gov, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,38,0
56, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40,0
23, Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40,0
58, Private, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,40,0
70, Private, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,30,0
30, Private, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40,0
45, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,40,0
23, Private, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,44,0
34, Local-gov, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1579,40,0
38, Private, Bachelors,13, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,40,0
24, Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40,0
53, Private, 7th-8th,4, Never-married, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40,0
45, Federal-gov, HS-grad,9, Never-married, Transport-moving, Not-in-family, Black, Male,3325,0,40,0
21, ?, Some-college,10, Never-married, ?, Own-child, White, Female,0,0,40,0
21, Private, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,40,0
34, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40,0
32, Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,5178,0,45,1
21, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40,0
63, ?, Masters,14, Married-civ-spouse, ?, Husband, White, Male,0,0,30,0
23, Private, 9th,5, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,36,0
28, Private, Bachelors,13, Divorced, Craft-repair, Unmarried, White, Male,0,0,50,0
29, Self-emp-not-inc, HS-grad,9, Never-married, Transport-moving, Unmarried, Black, Male,0,0,45,0
25, Local-gov, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,0,0,40,0
44, State-gov, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,60,0
18, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,8,0
26, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,24,0
47, Local-gov, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,35,1
23, Private, HS-grad,9, Divorced, Sales, Not-in-family, White, Male,0,0,40,0
46, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40,0
61, Local-gov, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178,0,50,1
25, Private, HS-grad,9, Never-married, Craft-repair, Other-relative, White, Male,0,0,40,0
38, Local-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,54,1
60, ?, Bachelors,13, Married-spouse-absent, ?, Unmarried, Black, Female,0,0,15,0
23, Private, Some-college,10, Never-married, Other-service, Not-in-family, White, Male,0,0,20,0
36, Federal-gov, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,48,0
46, Private, 9th,5, Divorced, Other-service, Not-in-family, White, Male,0,0,25,0
32, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45,1
40, Private, 10th,6, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40,0
31, Private, HS-grad,9, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40,0
31, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65,1
32, State-gov, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,37,0
21, Private, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,10,0
63, Private, Some-college,10, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40,1
44, Private, Some-college,10, Separated, Exec-managerial, Not-in-family, White, Male,0,0,45,1
42, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,60,0
23, ?, Bachelors,13, Never-married, ?, Own-child, White, Male,0,0,35,0
30, Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,45,0
24, Private, HS-grad,9, Never-married, Other-service, Unmarried, White, Male,0,0,40,0
42, Private, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40,1
44, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40,1
27, Federal-gov, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,48,0
27, Local-gov, Some-college,10, Never-married, Exec-managerial, Unmarried, White, Male,0,0,40,0
22, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,45,0
68, Private, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,0,0,40,0
55, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,99,1
22, Self-emp-not-inc, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,40,0
25, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,15,0
68, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45,0
62, Private, Some-college,10, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,16,0
26, Private, HS-grad,9, Divorced, Other-service, Other-relative, White, Male,0,0,40,0
34, Private, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55,1
68, Private, Some-college,10, Widowed, Sales, Not-in-family, White, Male,0,0,40,0
42, Local-gov, Bachelors,13, Separated, Exec-managerial, Not-in-family, White, Male,0,0,45,1
45, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,55,0
26, Private, 11th,7, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40,0
25, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45,0
23, Private, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,0,0,50,0
29, Private, Some-college,10, Never-married, Other-service, Not-in-family, Other, Male,0,1590,40,0
65, Without-pay, 7th-8th,4, Widowed, Farming-fishing, Unmarried, White, Female,0,0,50,0
31, Private, HS-grad,9, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50,0
26, Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40,0
39, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50,1
44, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40,1
45, Local-gov, Masters,14, Divorced, Prof-specialty, Unmarried, White, Female,1506,0,45,0
26, Self-emp-not-inc, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50,0
26, Private, 10th,6, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35,0
36, Private, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50,0
38, Private, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45,0
39, Private, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,48,0
52, Self-emp-inc, Prof-school,15, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40,0
39, Private, 1st-4th,2, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45,0
41, Self-emp-not-inc, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40,0
42, Local-gov, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,60,1
47, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,70,0
28, Local-gov, Assoc-voc,11, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,46,0
25, Local-gov, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,0,0,35,0
35, Private, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40,0
32, Private, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,0,0,40,0
38, Private, Masters,14, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40,1
44, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,18,1
21, ?, Some-college,10, Never-married, ?, Own-child, White, Female,0,0,40,0
27, Private, Bachelors,13, Never-married, Sales, Own-child, White, Female,0,0,40,0
30, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,55,1
30, Private, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,1741,48,0
45, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1628,45,0
20, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40,0
57, Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,80,0
43, Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,48,0
50, ?, 11th,7, Married-civ-spouse, ?, Own-child, Black, Female,0,0,40,0
28, Private, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Other-relative, Asian-Pac-Islander, Female,0,0,48,0
25, Private, HS-grad,9, Married-civ-spouse, Tech-support, Other-relative, White, Female,0,0,48,1
25, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40,0
90, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45,0
38, Local-gov, Bachelors,13, Separated, Prof-specialty, Unmarried, Black, Male,0,0,40,0
35, Private, Bachelors,13, Married-spouse-absent, Exec-managerial, Unmarried, White, Female,0,0,40,0
50, State-gov, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40,1
26, Local-gov, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40,0
39, Private, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45,0
56, Private, 10th,6, Married-civ-spouse, Sales, Husband, White, Male,0,0,40,0
24, Local-gov, HS-grad,9, Divorced, Protective-serv, Unmarried, Black, Female,0,0,40,0
46, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,7688,0,40,1
18, Local-gov, 11th,7, Never-married, Adm-clerical, Other-relative, White, Female,0,0,25,0
37, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,2415,60,1
57, Private, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40,0
43, State-gov, HS-grad,9, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40,0
29, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,25,0
40, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40,1
44, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40,0
77, Local-gov, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,6,0
30, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40,0
21, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40,0
66, Private, 10th,6, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40,0
40, Private, 11th,7, Never-married, Transport-moving, Own-child, White, Male,0,0,35,0
68, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40,0
64, Private, HS-grad,9, Widowed, Other-service, Not-in-family, White, Female,0,0,38,0
26, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50,0
32, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40,1
32, Private, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Male,0,0,38,0
51, Local-gov, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40,1
50, Private, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,45,1
49, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50,1
28, Private, Bachelors,13, Never-married, Transport-moving, Unmarried, White, Male,0,0,20,0
29, Private, HS-grad,9, Divorced, Other-service, Unmarried, White, Female,0,0,36,0
21, Private, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,30,0
28, Private, HS-grad,9, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40,0
55, Private, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40,0
45, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50,1
35, Private, Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,0,40,0
31, ?, 11th,7, Separated, ?, Not-in-family, Black, Male,0,0,40,0
26, Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,8614,0,40,1
30, Private, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,55,0
33, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,20,0
40, Private, Bachelors,13, Married-spouse-absent, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,13550,0,40,1
23, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40,0
35, Private, Some-college,10, Never-married, Sales, Not-in-family, White, Female,0,0,40,0
48, Self-emp-not-inc, 11th,7, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50,1
39, Local-gov, 10th,6, Divorced, Handlers-cleaners, Own-child, Black, Male,0,0,40,0
53, Local-gov, Prof-school,15, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50,0
49, Federal-gov, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40,1
31, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40,0
36, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,3103,0,40,1
60, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,7688,0,50,1
29, Private, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,48,0
54, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,45,1
28, ?, Assoc-acdm,12, Married-AF-spouse, ?, Wife, White, Female,0,0,3,0
34, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50,0
30, Private, Some-college,10, Never-married, Sales, Not-in-family, Black, Female,0,0,35,0
19, Private, HS-grad,9, Never-married, Priv-house-serv, Not-in-family, White, Female,0,0,45,0
26, Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40,0
47, Private, Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,0,70,1
50, Private, HS-grad,9, Divorced, Exec-managerial, Unmarried, White, Male,0,0,38,0
30, Private, Bachelors,13, Never-married, Exec-managerial, Unmarried, White, Female,0,0,45,1
44, Private, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,50,0
49, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,60,1
75, Self-emp-not-inc, Masters,14, Married-spouse-absent, Prof-specialty, Not-in-family, White, Female,0,0,50,0
37, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,55,1
51, State-gov, HS-grad,9, Divorced, Craft-repair, Unmarried, White, Male,0,0,38,0
35, Private, HS-grad,9, Never-married, Craft-repair, Unmarried, White, Male,0,0,35,0
28, Private, Some-college,10, Never-married, Sales, Other-relative, White, Female,0,0,40,0
66, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,1409,0,40,0
72, Private, 9th,5, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,48,1
39, Private, Bachelors,13, Separated, Sales, Not-in-family, White, Male,0,0,50,0
27, Private, HS-grad,9, Never-married, Farming-fishing, Own-child, Black, Male,0,0,30,0
57, Private, Some-college,10, Never-married, Adm-clerical, Other-relative, Black, Female,0,0,40,0
24, Private, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,2635,0,38,0
28, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,70,0
23, Private, Some-college,10, Married-spouse-absent, Other-service, Not-in-family, White, Female,0,0,50,0
31, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,1408,40,0
23, Private, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,20,0
31, Private, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,0,40,0
27, Local-gov, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40,0
30, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1740,45,0
31, Private, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,80,0
34, Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,4865,0,60,0
57, Federal-gov, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Male,0,2258,40,0
39, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40,1
23, Private, 11th,7, Never-married, Craft-repair, Own-child, White, Male,0,0,40,0
24, Local-gov, Assoc-acdm,12, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40,0
36, Private, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40,0
32, Private, Some-college,10, Divorced, Other-service, Other-relative, White, Male,0,0,40,0
35, Private, Assoc-acdm,12, Divorced, Other-service, Own-child, White, Female,0,0,40,0
36, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40,0
23, ?, Bachelors,13, Never-married, ?, Not-in-family, White, Female,0,0,50,0
47, Private, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40,1
35, Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40,0
44, Federal-gov, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40,0
32, State-gov, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50,0
32, Private, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,1485,40,1
63, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, Female,20051,0,10,1
34, Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40,0
47, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40,0
27, Private, 11th,7, Married-civ-spouse, Sales, Own-child, Black, Male,0,0,35,0
23, Private, HS-grad,9, Separated, Exec-managerial, Unmarried, White, Female,0,0,42,0
19, ?, Some-college,10, Never-married, ?, Other-relative, Amer-Indian-Eskimo, Female,0,0,40,0
50, Private, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,38,0
49, State-gov, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40,0
36, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40,1
23, Private, Bachelors,13, Never-married, Exec-managerial, Unmarried, White, Male,0,0,40,0
61, Private, 7th-8th,4, Widowed, Other-service, Unmarried, Black, Female,0,0,38,0
41, Private, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,16,0
27, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60,1
53, Private, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,70,0
17, Self-emp-not-inc, 10th,6, Never-married, Adm-clerical, Own-child, White, Male,0,0,10,0
23, ?, HS-grad,9, Never-married, ?, Not-in-family, White, Male,0,0,30,0
53, Private, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40,0
28, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1848,42,1
24, Private, Bachelors,13, Married-spouse-absent, Prof-specialty, Own-child, White, Female,0,0,40,0
22, Private, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,20,0
53, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50,1
18, Private, 11th,7, Never-married, Other-service, Other-relative, Black, Male,0,0,20,0
24, Private, Some-college,10, Never-married, Sales, Unmarried, White, Male,0,0,50,0
20, Private, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,0,0,40,0
30, Local-gov, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40,0
37, State-gov, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Male,8614,0,40,1
34, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40,0
